Comment,Designator,Footprint,LCSC,Quantity
1kΩ,R402,R_0402,C11702,1
10uF,"C203,C204,C205,C207,C209,C210,C211,C212,C218,C219",C_1206,C13585,10
SRV05-4.TCT,"TV401,TV402",SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,C13612,2
100nF,"C202,C206,C217",C_0603,C14663,3
AO3401A,Q404,Q_SOT-23,C15127,1
ATECC608B-SSHDA-T,U604,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,C1518769,1
1nF,"C220,C221",C_0402,C1523,2
100nF,"C402,C409,C603,C604,C605,C607",C_0402,C1525,6
22pF,"C406,C407,C408",C_0402,C1555,3
33pF,C403,C_0402,C1562,1
100uF,"C401,C410",C_CASE-B-3528-21(mm),C16133,2
47nF,"C208,C213,C214",C_0603,C1622,3
2.2Ω,R215,R_0805,C17521,1
300Ω,"R213,R214",R_0805,C17617,2
SMF28CA_C19077517,D210,SOD-123FL_L2.7-W1.8-LS3.8-BI,C19077517,1
AO3400A,"Q201,Q202,Q203,Q204,Q206",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,C20917,5
BZT52C9V1S,"D203,D204",SOD-323_L1.8-W1.3-LS2.5-RD,C22614,2
100Ω,R208,R_0603,C22775,1
150kΩ,R223,R_0603,C22807,1
220kΩ,R212,R_0603,C22961,1
27kΩ,R224,R_0603,C22967,1
Green,"D201,D402",D_0805,C2297,2
22Ω,"R409,R410,R411,R650,R651",R_0402,C25092,5
100kΩ,"R201,R209",R_0402,C25741,2
10kΩ,"R403,R404,R405,R406,R407,R408,R416,R417,R418,R603,R604,R652,R653,R655",R_0402,C25744,14
3.3kΩ,R225,R_0402,C25890,1
4.7kΩ,"R601,R602",R_0402,C25900,2
5.1kΩ,R222,R_0402,C25905,1
SMN-303,Card401,SIM-SMD_SMN-305,C266890,1
TYPE-C 16PIN 2MD(073),J201,USB-C-SMD_TYPE-C-6PIN-2MD-073,C2765186,1
BQ25792RQMR,U202,QFN-29_L4.0-W4.0-P0.40-TL-BQ25792RQMR,C2862876,1
GD25Q128ESIGR,U602,SOP-8_L5.3-W5.3-P1.27-LS8.0-BL,C2928891,1
4.7uF,C201,C_1206,C29823,1
WAFER-PH2.0-3PWB,J202,CONN-SMD_3P-P2.00_XUNPU_WAFER-PH2.0-3PWB,C3029441,1
10pF,C404,C_0402,C32949,1
2.2uF,C216,C_0805,C377773,1
VLS3012HBX-1R0M,L201,IND-SMD_L3.0-W3.0_VLS3012CX,C404493,1
3kΩ,R202,R_0603,C4211,1
ESDBW5V0A1_C5173252,U404,X1-DFN1006-2_L1.0-W0.6-P0.65-BI,C5173252,1
1uF,"C411,C601,C602,C606",C_0402,C52923,4
22uF,C608,C_1206,C5672,1
ESP32-C6-MINI-1-N4,U405,WIFIM-SMD_61P-L16.6-W13.2-P0.80-ESP32-C6-MINI-1-N4,C5736265,1
A7670G,U402,LGA-124_L24.0-W24.0-P1.0-A7670C-LASS,C5846957,1
TS-1088-AR02016,SW603,SW-SMD_L3.9-W3.0-P4.45,C720477,1
ZX-RF-1-Z21.25X,U401,IPEX-SMD_3P-L2.6-W2.6-LS3.0_YUANDI_RF-001,C7426714,1
MPZ2012S221AT000,L401,L0805,C76818,1
RT9080-33GJ5,U603,TSOT-23-5_L2.9-W1.6-P0.95-LS2.8-BL,C841192,1
2N7002,"Q401,Q402,Q403,Q406",Q_SOT-23,C8545,4
