Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C201,4.7uF,C_1206,143.62,-122.603702,-90.0,top
C202,100nF,C_0603,149.15,-116.643702,180.0,top
C203,10uF,C_1206,141.565,-115.238702,-90.0,top
C204,10uF,C_1206,143.965,-115.238702,-90.0,top
C205,10uF,C_1206,146.365,-115.238702,-90.0,top
C206,100nF,C_0603,152.2,-116.643702,0.0,top
C207,10uF,C_1206,154.9,-115.138702,-90.0,top
C208,47nF,C_0603,155.465,-121.613702,90.0,top
C209,10uF,C_1206,157.365,-115.138702,-90.0,top
C210,10uF,C_1206,159.765,-115.138702,-90.0,top
C211,10uF,C_1206,157.29,-120.723702,90.0,top
C212,10uF,C_1206,159.82,-120.733702,90.0,top
C213,47nF,C_0603,145.465,-123.038702,-90.0,top
C214,47nF,C_0603,152.55,-124.223702,90.0,top
C217,100nF,C_0603,145.465,-120.133702,90.0,top
C218,10uF,C_1206,138.59,-120.983702,90.0,top
C219,10uF,C_1206,141.08,-120.983702,90.0,top
C220,1nF,C_0402,130.5,-118.4,0.0,top
C221,1nF,C_0402,138.775847,-128.15,0.0,top
C401,47uF,C_1206,156.6,-72.9,90.0,top
C402,100nF,C_0402,156.0,-75.8,180.0,top
C403,33pF,C_0402,156.0,-76.8,180.0,top
C404,10pF,C_0402,159.0,-76.8,0.0,top
C406,22pF,C_0402,161.05,-105.5,180.0,top
C407,22pF,C_0402,161.05,-107.5,180.0,top
C408,22pF,C_0402,161.05,-106.5,180.0,top
C409,100nF,C_0402,161.05,-104.5,180.0,top
C410,47uF,C_1206,159.2,-72.9,90.0,top
C411,1uF,C_0402,159.0,-75.8,0.0,top
C415,2.2uF,C_0805,142.5,-110.85,180.0,top
C416,22uF,C_0805,123.0,-78.375,180.0,top
C417,1uF,C_0603,130.8,-130.1,0.0,top
C418,100pF,C_0805,154.7,-109.1,180.0,top
C601,1uF,C_0402,142.8,-67.0,-90.0,top
C602,1uF,C_0402,137.85,-67.0,-90.0,top
C603,100nF,C_0402,128.9,-98.1,0.0,top
C604,100nF,C_0402,127.6,-118.35,180.0,top
C605,100nF,C_0402,139.0,-73.0,0.0,top
C606,1uF,C_0402,141.0,-73.0,0.0,top
C607,100nF,C_0402,122.0,-67.21,90.0,top
C693,1uF,C_0402,134.6025,-114.718702,90.0,top
C697,100nF,C_0402,135.7025,-114.718702,-90.0,top
C698,100nF,C_0402,131.2,-92.7,-90.0,top
Card401,SMN-303,SIM-SMD_SMN-305,133.5,-105.85,-90.0,top
D201,Green,D_0805,140.565,-124.468702,0.0,top
D203,BZT52C9V1S,SOD-323_L1.8-W1.3-LS2.5-RD,132.6,-119.577452,180.0,top
D204,BZT52C9V1S,SOD-323_L1.8-W1.3-LS2.5-RD,139.52,-126.75,0.0,top
D212,USBLC6-2SC6_C2687116,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,130.35,-127.45,0.0,top
D401,SMAJ30A,SMA_L4.3-W2.6-LS5.2-RD,143.15,-133.7,-90.0,top
D402,Green,D_0805,165.4,-70.75,90.0,top
D403,ESD9X3.3ST5G,SOD-923_L0.8-W0.6-LS1.0-RD,161.4,-109.4,90.0,top
D404,USBLC6-2SC6_C2687116,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,147.5,-107.145,90.0,top
D405,USBLC6-2SC6_C2687116,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,143.7,-107.1775,-90.0,top
D406,ESD9X3.3ST5G,SOD-923_L0.8-W0.6-LS1.0-RD,149.0,-69.3,0.0,top
D407,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,138.1,-83.8,90.0,top
D420,Green,D_0805,126.7,-78.8,180.0,top
D606,USBLC6-2SC6_C2687116,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,130.53,-86.71,90.0,top
J201,TYPE-C 16PIN 2MD(073),USB-C-SMD_TYPE-C-6PIN-2MD-073,126.5,-134.2925,0.0,top
J202,WAFER-PH2.0-3PWB,CONN-SMD_3P-P2.00_XUNPU_WAFER-PH2.0-3PWB,162.0,-131.2,90.0,top
L201,VLS3012HBX-1R0M,IND-SMD_L3.0-W3.0_VLS3012CX,150.605,-111.968702,0.0,top
L401,MPZ2012S221AT000,L0805,163.1,-71.2,-90.0,top
L402,MPZ2012S221AT000,L0805,123.7,-128.8,-90.0,top
L403,GZ2012D601TF,L0805,126.15,-84.8,90.0,top
L404,GZ2012D601TF,L0805,153.6,-106.8,180.0,top
L407,RSCM7060-701,FILTER-SMD_4P-L7.0-W6.0-P3.00-TL,136.73,-133.7,180.0,top
Q201,AO3400A,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,128.75,-120.527452,0.0,top
Q202,AO3400A,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,135.125847,-124.939757,0.0,top
Q203,AO3400A,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,135.875847,-128.4,90.0,top
Q204,AO3400A,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,162.915,-120.188702,90.0,top
Q206,AO3400A,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,132.6,-122.427452,180.0,top
Q401,AO3400A,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,158.04,-68.9,180.0,top
Q402,AO3400A,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,146.6,-73.2,270.0,top
Q403,AO3400A,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,150.08,-73.2,270.0,top
